Date,Price,Open,High,Low,Vol.,Change %,,Rolling Change
21-03-2023,"28,164.85","28,455.65","28,552.00","28,124.25",21.59M,-0.98%,,-0.68%
22-03-2023,"28,217.60","28,375.90","28,549.00","28,148.40",,0.19%,,-0.52%
23-03-2023,"27,999.25","28,065.80","28,116.45","27,843.25",19.33M,-0.77%,,-0.39%
24-03-2023,"27,935.65","28,208.35","28,453.85","27,869.50",19.38M,-0.23%,,-0.39%
27-03-2023,"27,948.75","27,985.65","28,193.60","27,818.25",13.38M,0.05%,,-0.28%
28-03-2023,"27,702.80","27,998.30","28,090.75","27,674.70",19.02M,-0.88%,,-0.58%
29-03-2023,"28,011.30","27,777.95","28,113.95","27,639.65",23.47M,1.11%,,-0.22%
31-03-2023,"28,698.60","28,379.75","28,741.60","28,277.00",22.63M,2.45%,,0.27%
03-04-2023,"28,633.00","28,841.60","28,841.60","28,449.25",13.11M,-0.23%,,0.21%
05-04-2023,"28,977.20","28,520.00","29,032.65","28,506.70",21.53M,1.20%,,0.50%
06-04-2023,"28,764.55","28,876.20","29,004.80","28,666.00",16.88M,-0.73%,,0.42%
10-04-2023,"29,041.60","28,810.85","29,086.40","28,739.40",12.65M,0.96%,,0.55%
11-04-2023,"28,675.75","29,051.75","29,095.45","28,530.50",17.75M,-1.26%,,0.50%
12-04-2023,"28,980.35","28,773.40","29,031.05","28,578.10",16.27M,1.06%,,0.49%
13-04-2023,"28,342.80","28,713.65","28,736.70","28,230.00",27.38M,-2.20%,,-0.17%
17-04-2023,"27,008.20","27,059.15","27,076.15","26,184.45",84.86M,-4.71%,,-0.81%
18-04-2023,"27,166.95","27,189.40","27,189.40","26,851.70",28.09M,0.59%,,-0.90%
19-04-2023,"26,687.45","27,174.60","27,193.10","26,640.20",26.86M,-1.77%,,-1.05%
20-04-2023,"26,637.15","26,694.10","26,868.90","26,597.95",19.80M,-0.19%,,-1.21%
21-04-2023,"26,822.10","26,701.70","26,835.70","26,602.80",26.95M,0.69%,,-0.93%
24-04-2023,"27,013.65","26,910.70","27,034.90","26,721.50",24.39M,0.71%,,-0.98%
25-04-2023,"26,985.80","27,028.80","27,082.10","26,820.70",18.04M,-0.10%,,-0.68%
26-04-2023,"27,065.00","27,007.55","27,158.75","26,977.55",16.62M,0.29%,,0.03%
27-04-2023,"27,355.25","27,079.00","27,378.10","27,024.15",24.42M,1.07%,,0.10%
28-04-2023,"27,708.20","27,401.95","27,743.00","27,388.80",38.95M,1.29%,,0.54%
02-05-2023,"28,025.00","27,792.70","28,154.10","27,756.00",26.05M,1.14%,,0.73%
03-05-2023,"27,743.75","27,872.40","27,883.45","27,693.30",16.13M,-1.00%,,0.49%
04-05-2023,"27,883.20","27,716.55","27,912.50","27,685.55",14.06M,0.50%,,0.46%
05-05-2023,"27,719.95","27,905.35","27,915.25","27,634.85",14.93M,-0.59%,,0.39%
08-05-2023,"27,920.95","27,837.30","27,947.00","27,735.15",14.94M,0.73%,,0.45%
09-05-2023,"28,125.50","27,961.00","28,168.45","27,910.65",15.48M,0.73%,,0.40%
10-05-2023,"28,091.75","28,220.45","28,236.85","27,998.95",14.71M,-0.12%,,0.20%
