Date,Price,Open,High,Low,Vol.,Change %,,Rolling average
24-06-2024,179.22,180.16,180.89,178.67,18.30M,-0.23%,,0.12%
25-06-2024,184.03,179.62,184.29,179.42,23.24M,2.68%,,0.71%
26-06-2024,183.88,182.63,184.51,182.48,19.84M,-0.08%,,0.57%
27-06-2024,185.41,184.18,186.05,184.02,18.85M,0.83%,,0.65%
28-06-2024,182.15,184.32,185.13,181.96,29.16M,-1.76%,,0.57%
01-07-2024,182.99,183.03,183.88,181.3,16.01M,0.46%,,0.54%
02-07-2024,185.24,182.05,185.57,181.56,17.37M,1.23%,,0.45%
03-07-2024,185.82,184.85,186.09,184,10.24M,0.31%,,0.52%
05-07-2024,190.6,185.85,190.86,185.8,20.97M,2.57%,,0.51%
08-07-2024,189.03,189.9,190.17,187.78,21.04M,-0.82%,,0.40%
09-07-2024,188.98,190.31,191.36,188.72,15.14M,-0.03%,,0.28%
10-07-2024,191.18,189.15,191.75,189.03,15.95M,1.16%,,0.70%
11-07-2024,185.57,189.85,190.86,185.08,25.63M,-2.93%,,0.21%
12-07-2024,185.07,185.08,187.11,184.49,22.90M,-0.27%,,0.00%
15-07-2024,186.53,184.92,188.24,184.92,16.47M,0.79%,,0.07%
16-07-2024,183.92,187.36,188.68,183.37,18.29M,-1.40%,,-0.50%
17-07-2024,181.02,182.96,183.55,179.9,20.73M,-1.58%,,-0.61%
18-07-2024,177.69,181.93,182.5,176.47,25.32M,-1.84%,,-0.87%
19-07-2024,177.66,178.88,180.29,177.13,18.88M,-0.02%,,-1.04%
22-07-2024,181.67,180.59,182.7,180.23,24.10M,2.26%,,-0.29%
23-07-2024,181.79,182.05,183.61,181.54,36.35M,0.07%,,-0.25%
24-07-2024,172.63,173.6,176.19,171.82,49.59M,-5.04%,,-1.08%
25-07-2024,167.28,172.52,173.42,167.19,44.85M,-3.10%,,-1.32%
26-07-2024,167,167.15,168.09,164.06,41.34M,-0.17%,,-1.12%
29-07-2024,169.53,168.83,170.43,167.99,20.29M,1.51%,,-0.64%
30-07-2024,170.29,170.24,171.23,168.44,18.96M,0.45%,,-0.57%
31-07-2024,171.54,173.24,174.24,170.01,25.73M,0.73%,,-0.79%
01-08-2024,170.76,170.25,174.05,168.88,24.53M,-0.45%,,-0.87%
02-08-2024,166.66,166.44,168.51,164.67,29.13M,-2.40%,,-0.49%
05-08-2024,159.25,155.5,164.43,154.93,53.63M,-4.45%,,-0.68%
06-08-2024,158.29,159.33,160.57,156.41,49.00M,-0.60%,,-0.74%
07-08-2024,158.94,161.25,162.98,158.47,25.14M,0.41%,,-0.90%
08-08-2024,162.03,160.51,163.69,160.21,25.58M,1.94%,,-0.69%
09-08-2024,163.67,160.01,163.79,159.06,28.60M,1.01%,,-0.65%
12-08-2024,162.29,164.35,164.9,161.84,15.90M,-0.84%,,-0.70%
13-08-2024,164.16,163.41,164.73,162.97,18.55M,1.15%,,-0.20%
14-08-2024,160.37,162.4,163.22,157.71,40.59M,-2.31%,,0.11%
15-08-2024,161.3,160.5,161.63,159.61,31.52M,0.58%,,0.28%
16-08-2024,162.96,161.47,165.06,161.13,24.21M,1.03%,,0.37%
19-08-2024,166.67,165.28,166.69,164.26,22.42M,2.28%,,0.41%
20-08-2024,167.18,166.9,168.64,166.82,18.34M,0.31%,,0.31%
21-08-2024,165.85,165.15,166.85,164.67,22.90M,-0.80%,,0.32%
22-08-2024,163.8,167.26,167.59,163.31,22.49M,-1.24%,,-0.02%
23-08-2024,165.62,164.72,166.18,163.83,13.96M,1.11%,,0.47%
26-08-2024,166.16,166.38,167.55,164.46,14.19M,0.33%,,0.43%
27-08-2024,164.68,165.84,166.44,164.46,11.82M,-0.89%,,0.16%
28-08-2024,162.85,165.04,165.6,161.53,16.41M,-1.11%,,-0.33%
29-08-2024,161.78,164.31,165.97,160.25,19.70M,-0.66%,,-0.47%
30-08-2024,163.38,162.62,163.66,161.69,22.12M,0.99%,,-0.21%
03-09-2024,157.36,161.72,161.85,156.48,38.95M,-3.68%,,-0.56%
04-09-2024,156.45,156.65,159,155.96,19.35M,-0.58%,,-0.80%
05-09-2024,157.24,156.3,159.45,155.98,18.69M,0.50%,,-0.78%
06-09-2024,150.92,157.3,157.83,150.55,37.91M,-4.02%,,-1.22%
09-09-2024,148.71,152.51,153.4,147.21,39.26M,-1.46%,,-1.27%
10-09-2024,148.66,150.45,151.27,148.34,31.12M,-0.03%,,-1.18%
11-09-2024,151.16,149.92,151.5,147.52,29.61M,1.68%,,-1.08%
12-09-2024,154.69,153.8,154.82,152.65,29.70M,2.34%,,-0.22%
13-09-2024,157.46,155.43,158.38,155.21,29.59M,1.79%,,0.11%
16-09-2024,158.06,157.31,158.25,156.6,18.38M,0.38%,,0.10%
17-09-2024,159.32,159.02,160.55,158.38,20.72M,0.80%,,0.79%
18-09-2024,159.81,159.86,160.5,158.6,23.68M,0.31%,,1.04%
19-09-2024,162.14,163.71,163.79,161.34,26.59M,1.46%,,1.25%
20-09-2024,163.59,163.5,163.73,162.06,40.90M,0.89%,,1.14%
23-09-2024,161.85,164.35,165.49,161.67,24.15M,-1.06%,,0.65%
24-09-2024,162.29,163.03,163.22,160.69,23.33M,0.27%,,0.44%
25-09-2024,161.49,161.47,162.81,161.3,18.87M,-0.49%,,0.31%
26-09-2024,162.73,163.64,164.08,162.28,20.32M,0.77%,,0.31%
27-09-2024,163.95,162.81,165.7,162.63,21.10M,0.75%,,0.37%
30-09-2024,165.85,163.32,166.15,163.26,20.48M,1.16%,,0.33%
01-10-2024,166.99,167.68,169.16,164.58,28.34M,0.69%,,0.30%
02-10-2024,165.86,166.42,167.52,164.73,17.76M,-0.68%,,0.35%
03-10-2024,165.86,164.41,166.64,163.92,15.07M,0.00%,,0.31%
04-10-2024,167.06,168.06,168.23,165.48,19.09M,0.72%,,0.49%
07-10-2024,162.98,167.72,168.48,162.75,22.46M,-2.44%,,0.03%
08-10-2024,164.38,163.94,164.73,162.87,23.07M,0.86%,,0.04%
09-10-2024,161.86,163.45,164.84,159.74,31.18M,-1.53%,,-0.34%
10-10-2024,162.08,160.87,163.07,160.4,14.14M,0.14%,,-0.42%
11-10-2024,163.24,162.13,163.9,161.24,15.34M,0.72%,,-0.22%
14-10-2024,164.96,163.64,166.23,163.4,19.02M,1.05%,,-0.07%
15-10-2024,165.46,165.79,167.68,164.63,20.25M,0.30%,,-0.13%
16-10-2024,165.16,164.53,165.8,163.74,16.41M,-0.18%,,0.19%
17-10-2024,162.93,165.73,166.37,162.76,21.45M,-1.35%,,-0.12%
18-10-2024,163.42,163.19,164.71,163.08,19.76M,0.30%,,0.14%
21-10-2024,164.07,162.95,164.5,162.62,20.95M,0.40%,,0.18%
22-10-2024,165.14,162.98,165.77,162.98,16.57M,0.65%,,0.17%
23-10-2024,162.78,164.76,165.82,161.93,18.28M,-1.43%,,-0.19%
24-10-2024,162.72,162.83,163.33,161.01,22.41M,-0.04%,,-0.24%
25-10-2024,165.27,163.67,165.59,163.42,19.83M,1.57%,,0.01%
28-10-2024,166.72,168.75,168.75,163.95,32.14M,0.88%,,0.33%
29-10-2024,169.68,167.73,170.38,167.09,42.17M,1.78%,,0.54%
30-10-2024,174.46,180.68,182.02,174.06,68.89M,2.82%,,0.89%
31-10-2024,171.11,173.13,176.82,171,44.77M,-1.92%,,0.52%
01-11-2024,171.29,170.07,172.32,168.88,31.80M,0.11%,,0.74%
04-11-2024,169.24,169.93,170.73,168.01,21.49M,-1.20%,,0.58%
05-11-2024,169.74,169.43,170.53,168.84,18.24M,0.30%,,0.40%
06-11-2024,176.51,173.8,176.94,173.5,33.70M,3.99%,,0.84%
07-11-2024,180.75,177.41,181.08,177.19,25.35M,2.40%,,0.93%
08-11-2024,178.35,180.65,180.9,178.08,22.01M,-1.33%,,0.34%
11-11-2024,180.35,178.58,180.54,178.47,17.45M,1.12%,,0.77%
12-11-2024,181.62,179.82,182.49,179.39,25.13M,0.70%,,0.85%
13-11-2024,178.88,180.46,180.96,178.54,23.18M,-1.51%,,0.81%
14-11-2024,175.58,178.28,178.82,174.32,31.01M,-1.84%,,0.50%
15-11-2024,172.49,173.73,174.14,171.22,32.50M,-1.76%,,-0.32%
18-11-2024,175.3,173.42,175.44,172.9,20.21M,1.63%,,-0.43%
19-11-2024,178.12,173.72,178.87,173.56,23.43M,1.61%,,-0.01%
20-11-2024,175.98,177.34,177.68,173.78,19.00M,-1.20%,,-0.34%
21-11-2024,167.63,173.9,174.13,163.7,59.73M,-4.74%,,-1.12%
22-11-2024,164.76,165.85,166.46,163.9,38.60M,-1.71%,,-1.14%
25-11-2024,167.65,166.09,168.63,165.61,33.14M,1.75%,,-0.63%
26-11-2024,169.12,167.63,169.82,167.58,20.49M,0.88%,,-0.25%
27-11-2024,169.23,169,169.48,168.02,19.27M,0.07%,,-0.48%
29-11-2024,168.95,168.5,169.43,167.16,14.26M,-0.17%,,-0.73%
02-12-2024,171.49,168.76,172.07,168.57,23.79M,1.50%,,-0.35%
03-12-2024,171.34,171.49,172.68,170.85,22.25M,-0.09%,,0.32%
04-12-2024,174.37,171.15,174.91,171.06,31.62M,1.77%,,0.82%
05-12-2024,172.64,175.36,176.06,172.33,21.36M,-0.99%,,0.42%
06-12-2024,174.71,172.03,175.08,171.86,21.46M,1.20%,,0.47%
09-12-2024,175.37,173.96,176.26,173.65,25.39M,0.38%,,0.51%
10-12-2024,185.17,182.85,186.36,181.05,54.81M,5.59%,,1.34%
11-12-2024,195.4,185.31,195.61,184.85,67.89M,5.52%,,1.91%
12-12-2024,191.96,195,195.18,191.71,34.82M,-1.76%,,1.67%
13-12-2024,189.82,191.01,192.73,189.64,25.14M,-1.11%,,1.26%
16-12-2024,196.66,192.87,199,192.62,44.93M,3.60%,,1.92%
17-12-2024,195.42,197.25,201.42,194.98,43.50M,-0.63%,,1.66%
18-12-2024,188.4,195.22,197,187.74,34.17M,-3.59%,,1.09%
19-12-2024,188.51,191.63,193.03,188.38,32.27M,0.06%,,0.30%
20-12-2024,191.41,185.78,192.89,185.22,63.46M,1.54%,,-0.27%
23-12-2024,194.63,192.62,195.1,190.15,25.68M,1.68%,,0.22%
24-12-2024,196.11,194.84,196.11,193.78,10.40M,0.76%,,0.49%
26-12-2024,195.6,195.15,196.75,194.38,12.06M,-0.26%,,-0.06%
27-12-2024,192.76,194.95,195.32,190.65,18.89M,-1.45%,,-0.18%
30-12-2024,191.24,189.8,192.55,189.12,14.26M,-0.79%,,0.22%
31-12-2024,189.3,191.07,191.96,188.51,17.47M,-1.01%,,0.07%
02-01-2025,189.43,190.65,192,187.5,20.37M,0.07%,,-0.14%
03-01-2025,191.79,191.37,193.21,189.98,18.60M,1.25%,,-0.20%
06-01-2025,196.87,193.98,198.22,193.85,29.56M,2.65%,,0.07%
07-01-2025,195.49,197.11,201,194.6,26.49M,-0.70%,,0.00%
08-01-2025,193.95,192.57,196.29,192.38,24.86M,-0.79%,,0.10%
10-01-2025,192.04,194.29,196.52,190.31,26.67M,-0.98%,,0.07%
13-01-2025,191.01,190.07,191.18,187.36,21.82M,-0.54%,,0.14%
14-01-2025,189.66,191.24,191.98,188.31,17.17M,-0.71%,,0.03%
15-01-2025,195.55,193.09,196.36,191.86,21.78M,3.11%,,0.29%
16-01-2025,192.91,194.14,195.48,192.81,17.82M,-1.35%,,-0.28%
17-01-2025,196,196.53,197.23,193.75,27.74M,1.60%,,0.05%
21-01-2025,198.05,199.07,202.29,197.87,29.97M,1.05%,,0.31%
22-01-2025,198.37,199.06,200.48,197.53,26.20M,0.16%,,0.47%
23-01-2025,197.98,198.14,200.3,195.2,26.95M,-0.20%,,0.52%
24-01-2025,200.21,198.1,200.9,198,23.88M,1.13%,,0.79%
27-01-2025,191.81,192.41,196.88,190.73,41.73M,-4.20%,,-0.26%
28-01-2025,195.3,192.74,195.48,190.68,24.16M,1.82%,,0.19%
29-01-2025,195.41,195.55,196.79,193.43,18.22M,0.06%,,-0.03%
30-01-2025,200.87,198,201.4,197.67,24.35M,2.79%,,0.22%
31-01-2025,204.02,202,205.48,201.8,32.04M,1.57%,,0.42%
03-02-2025,201.23,200.69,203.75,200.1,27.84M,-1.37%,,0.26%
04-02-2025,206.38,203.39,207.05,202.81,43.86M,2.56%,,0.46%
05-02-2025,191.33,191.07,192.75,188.03,70.46M,-7.29%,,0.02%
06-02-2025,191.6,189.5,192.1,188.72,29.30M,0.14%,,-0.22%
07-02-2025,185.34,191.05,191.18,183.24,49.31M,-3.27%,,-0.70%
10-02-2025,186.47,187.35,188.2,185.86,23.11M,0.61%,,-1.01%
11-02-2025,185.32,185.03,186.94,184.28,21.24M,-0.62%,,-1.32%
12-02-2025,183.61,183.22,185.11,181.83,22.07M,-0.92%,,-1.26%
13-02-2025,186.14,184.32,186.28,183.14,21.40M,1.38%,,-1.42%
14-02-2025,185.23,185.05,186.4,184.32,20.45M,-0.49%,,-0.45%
18-02-2025,183.77,185.6,185.96,181.74,29.92M,-0.79%,,-0.59%
19-02-2025,185.27,184.07,185.46,183.59,19.55M,0.82%,,0.00%
20-02-2025,184.56,184.8,185.31,182.72,20.44M,-0.38%,,-0.14%
21-02-2025,179.66,185.15,185.34,179.08,35.20M,-2.65%,,-0.43%
24-02-2025,179.25,181.99,183.12,178.88,29.85M,-0.23%,,-0.33%
25-02-2025,175.42,178.04,178.74,174.69,41.91M,-2.14%,,-0.84%
26-02-2025,172.73,175.07,176.08,171.58,35.43M,-1.53%,,-0.99%
27-02-2025,168.5,173.99,174.56,167.94,39.99M,-2.45%,,-1.22%
28-02-2025,170.28,168.68,170.61,166.77,48.13M,1.06%,,-1.19%
03-03-2025,167.01,171.93,173.37,165.93,40.77M,-1.92%,,-1.41%
04-03-2025,170.92,166.24,173.29,165.8,45.39M,2.34%,,-0.70%
05-03-2025,173.02,170.52,173.78,169.06,30.95M,1.23%,,-0.49%
06-03-2025,172.35,170.53,174.81,170.5,28.30M,-0.39%,,-0.24%
07-03-2025,173.86,171.26,174.97,170.27,27.39M,0.88%,,0.11%
10-03-2025,165.87,168.26,168.46,163.69,43.60M,-4.60%,,-0.20%
11-03-2025,164.04,164.91,166.75,161.37,39.59M,-1.10%,,-0.51%
12-03-2025,167.11,166.58,167.64,163.53,28.37M,1.87%,,0.03%
13-03-2025,162.76,166.04,166.13,162.11,31.76M,-2.60%,,-0.67%
14-03-2025,165.49,163.27,166.49,162.45,32.00M,1.68%,,-0.61%
17-03-2025,164.29,165.03,166.3,163.67,31.18M,-0.73%,,-0.66%
18-03-2025,160.67,163.68,164.25,156.72,42.07M,-2.20%,,-1.10%
19-03-2025,163.89,161.76,165.87,161,34.28M,2.00%,,-0.15%
20-03-2025,162.8,161.57,164.89,160.96,28.14M,-0.67%,,-0.09%
21-03-2025,163.99,161.21,164.24,160.89,36.63M,0.73%,,-0.26%
24-03-2025,167.68,167.07,168.32,165.14,30.88M,2.25%,,0.44%
25-03-2025,170.56,168.98,170.63,168.32,24.17M,1.72%,,0.44%
26-03-2025,165.06,169,169.61,164.84,28.94M,-3.22%,,0.09%
27-03-2025,162.24,164.63,165.42,162,24.51M,-1.71%,,0.16%
28-03-2025,154.33,160.49,161.82,153.63,48.67M,-4.88%,,-0.83%
31-03-2025,154.64,153.11,155.54,150.66,54.60M,0.20%,,-0.70%
01-04-2025,157.07,153.62,158.1,153.62,30.67M,1.57%,,-0.58%
02-04-2025,157.04,155.15,158.41,154.7,25.04M,-0.02%,,-0.91%
03-04-2025,150.72,151.11,152.78,150.39,46.88M,-4.02%,,-1.73%
04-04-2025,145.6,148.01,151.07,145.38,62.26M,-3.40%,,-1.75%
07-04-2025,146.75,141.55,152.85,140.53,76.79M,0.79%,,-1.39%
08-04-2025,144.7,151.22,152.24,143.03,52.20M,-1.40%,,-0.90%
09-04-2025,158.71,144.41,159.55,143.9,70.41M,9.68%,,0.46%
10-04-2025,152.82,156.54,157.72,149.93,48.02M,-3.71%,,-0.30%
11-04-2025,157.14,152.9,157.67,152.82,33.64M,2.83%,,0.11%
14-04-2025,159.07,159.99,161.72,157.56,30.33M,1.23%,,0.86%
15-04-2025,156.31,159.13,159.65,155.21,27.55M,-1.74%,,1.10%
16-04-2025,153.33,153.1,155.89,151.51,28.19M,-1.91%,,0.71%
17-04-2025,151.16,154.29,154.68,148.5,33.05M,-1.42%,,0.71%
21-04-2025,147.67,148.88,148.95,146.1,26.05M,-2.31%,,-1.00%
22-04-2025,151.47,148.89,152.19,148.54,26.97M,2.57%,,-0.11%
23-04-2025,155.35,155.61,157.52,153.81,31.13M,2.56%,,-0.15%
24-04-2025,159.28,156.15,159.59,155.79,45.89M,2.53%,,0.04%
25-04-2025,161.96,165.07,166.1,161.04,56.03M,1.68%,,0.53%
28-04-2025,160.61,162.43,163.15,158.6,29.75M,-0.83%,,0.68%
29-04-2025,160.16,160.32,160.74,157.52,26.81M,-0.28%,,0.85%
30-04-2025,158.8,157.98,159.27,155.4,34.98M,-0.85%,,1.05%
01-05-2025,161.3,160.45,161.95,158.91,30.20M,1.57%,,0.91%
02-05-2025,164.03,163.4,164.97,161.87,25.72M,1.69%,,0.79%
05-05-2025,164.21,163,165.39,162.72,21.34M,0.11%,,0.44%
06-05-2025,163.23,162.17,164.8,161.19,21.28M,-0.60%,,0.12%
07-05-2025,151.38,164.08,165,147.84,127.75M,-7.26%,,-0.80%
08-05-2025,154.28,155,155.93,152.9,57.50M,1.92%,,-0.49%
09-05-2025,152.75,154.17,155.05,152.2,32.44M,-0.99%,,-0.51%
12-05-2025,158.46,157.49,159.1,156.25,44.14M,3.74%,,-0.20%
13-05-2025,159.53,158.79,160.57,156.16,42.38M,0.68%,,-0.34%
14-05-2025,165.37,159.96,167,159.61,48.76M,3.66%,,0.16%
15-05-2025,163.96,165.84,166.21,162.37,33.15M,-0.85%,,0.13%
16-05-2025,166.19,167.73,169.35,165.62,42.85M,1.36%,,1.36%
19-05-2025,166.54,164.51,166.64,164.22,30.43M,0.21%,,1.12%
20-05-2025,163.98,166.43,168.5,162.9,46.61M,-1.54%,,1.04%
21-05-2025,168.56,163.69,173.14,163.56,73.42M,2.79%,,0.90%
22-05-2025,170.87,171.85,176.77,170.71,74.86M,1.37%,,1.00%
23-05-2025,168.47,169.05,169.96,167.89,35.21M,-1.40%,,0.28%
27-05-2025,172.9,170.16,173.17,170,38.00M,2.63%,,0.77%
28-05-2025,172.36,173.16,175.26,171.91,34.78M,-0.31%,,0.54%
29-05-2025,171.86,174,174.42,170.63,29.37M,-0.29%,,0.46%
30-05-2025,171.74,171.35,172.21,167.44,52.64M,-0.07%,,0.67%
02-06-2025,169.03,167.84,169.87,167.39,38.61M,-1.58%,,0.05%
03-06-2025,166.18,167.49,168.48,165.28,45.08M,-1.69%,,-0.39%
04-06-2025,168.05,166.74,168.21,166.36,26.90M,1.13%,,-0.03%
05-06-2025,168.21,170.34,170.93,167.59,36.44M,0.10%,,-0.39%
06-06-2025,173.68,170.83,174.5,170.83,35.73M,3.25%,,0.12%
09-06-2025,176.09,174.54,176.47,174.37,28.94M,1.39%,,0.36%
10-06-2025,178.6,176.2,181.1,174.91,61.77M,1.43%,,0.58%
11-06-2025,177.35,179.77,180.37,176.75,31.65M,-0.70%,,0.70%
12-06-2025,175.7,176.18,176.72,174.74,20.94M,-0.93%,,0.81%
13-06-2025,174.67,172.44,177.13,172.38,27.66M,-0.59%,,0.56%
16-06-2025,176.77,174.73,176.94,174.65,27.39M,1.20%,,0.72%
17-06-2025,175.95,175.7,177.36,174.58,24.97M,-0.46%,,0.19%
18-06-2025,173.32,176.01,176.56,173.2,28.71M,-1.49%,,-0.22%
20-06-2025,166.64,173.95,174.34,165.46,75.66M,-3.85%,,-0.97%
23-06-2025,165.19,166.27,167.34,162,57.67M,-0.87%,,-1.00%
24-06-2025,166.77,166.92,168.22,166.13,40.52M,0.96%,,-0.73%
25-06-2025,170.68,167.63,172.36,167.55,35.48M,2.34%,,-0.31%
26-06-2025,173.54,172.43,173.69,169.94,31.80M,1.68%,,-0.24%
27-06-2025,178.53,173.54,178.68,171.73,108.14M,2.88%,,0.24%
30-06-2025,176.23,180.78,181.23,174.58,63.38M,-1.29%,,0.26%
01-07-2025,175.84,175.74,176.09,173.53,35.90M,-0.22%,,0.78%
02-07-2025,178.64,175.54,178.86,175.07,29.13M,1.59%,,1.13%
03-07-2025,179.53,178.5,179.67,177.05,21.69M,0.50%,,1.07%
07-07-2025,176.79,179.06,179.3,175.68,34.18M,-1.53%,,0.52%
08-07-2025,174.36,177.85,177.95,172.81,40.44M,-1.37%,,0.08%
09-07-2025,176.62,175.25,179.44,172.77,43.03M,1.30%,,-0.15%
10-07-2025,177.62,175.63,178.43,174.38,29.25M,0.57%,,0.12%
11-07-2025,180.19,176.79,181.43,176.48,34.28M,1.45%,,0.36%
14-07-2025,181.56,181.01,183.67,179.68,32.54M,0.76%,,0.24%
15-07-2025,182,182.81,184.22,181.6,33.45M,0.24%,,0.20%
16-07-2025,182.97,183.24,184.33,182.03,33.10M,0.53%,,0.50%
17-07-2025,183.58,182.14,184.06,180.48,31.99M,0.33%,,0.74%
18-07-2025,185.06,185.4,186.42,183.71,34.01M,0.81%,,0.67%
21-07-2025,190.1,186.25,190.29,186.15,45.80M,2.72%,,0.98%
22-07-2025,191.34,191.49,191.65,187.46,44.66M,0.65%,,0.86%
23-07-2025,190.23,191.5,192.53,189.18,58.68M,-0.58%,,0.67%
24-07-2025,192.17,197.03,197.95,191,74.88M,1.02%,,0.78%
25-07-2025,193.18,191.98,194.33,191.26,39.79M,0.53%,,0.78%
28-07-2025,192.58,193.65,194.05,190.84,38.14M,-0.31%,,0.69%
29-07-2025,195.75,192.43,195.92,192.08,41.39M,1.65%,,0.81%
30-07-2025,196.53,195.6,197.6,194.68,32.45M,0.40%,,0.48%
31-07-2025,191.9,195.71,195.99,191.09,51.33M,-2.36%,,0.05%
01-08-2025,189.13,189.02,190.83,187.82,34.83M,-1.44%,,-0.07%
04-08-2025,195.04,190.29,195.27,190.12,31.55M,3.12%,,0.23%
05-08-2025,194.67,194.71,197.86,193.88,31.60M,-0.19%,,0.12%
06-08-2025,196.09,194.5,196.63,193.67,21.56M,0.73%,,0.27%
07-08-2025,196.52,197.06,197.54,194.33,26.32M,0.22%,,0.07%
08-08-2025,201.42,197.22,202.61,197.17,39.16M,2.49%,,0.37%
11-08-2025,201,200.93,201.48,199.07,25.83M,-0.21%,,0.67%
12-08-2025,203.34,201.37,204.5,200.59,30.42M,1.16%,,1.05%
13-08-2025,201.96,204.13,204.53,197.51,28.34M,-0.68%,,0.50%
14-08-2025,202.94,201.5,204.44,201.23,25.23M,0.49%,,0.60%
15-08-2025,203.9,203.85,206.44,201.28,34.93M,0.47%,,0.56%
18-08-2025,203.5,204.2,205.26,202.49,18.53M,-0.20%,,0.50%
19-08-2025,201.57,203.03,203.44,199.96,24.24M,-0.95%,,0.01%
20-08-2025,199.32,200.73,201.28,196.6,28.96M,-1.12%,,-0.12%
21-08-2025,199.75,199.74,202.48,199.43,19.77M,0.22%,,-0.25%
22-08-2025,206.09,202.73,208.54,201.3,42.83M,3.17%,,0.30%
25-08-2025,208.49,206.43,210.52,205.28,29.93M,1.16%,,0.39%
26-08-2025,207.14,207.51,207.85,205.7,28.46M,-0.65%,,0.23%
27-08-2025,207.48,205.7,208.91,205.65,23.02M,0.16%,,0.28%
28-08-2025,211.64,207.25,212.22,206.9,32.34M,2.01%,,0.71%
29-08-2025,212.91,210.51,214.65,210.2,39.73M,0.60%,,0.95%
02-09-2025,211.35,208.44,211.68,206.2,47.52M,-0.73%,,0.82%
03-09-2025,230.66,226.21,231.31,224.79,103.34M,9.14%,,1.67%
04-09-2025,232.3,229.65,232.37,226.11,51.68M,0.71%,,1.61%
05-09-2025,235,232.2,235.76,231.9,46.59M,1.16%,,1.86%
08-09-2025,234.04,235.47,238.13,233.67,32.47M,-0.41%,,1.78%
09-09-2025,239.63,234.16,240.47,233.23,38.06M,2.39%,,1.84%
10-09-2025,239.17,238.9,241.66,237.85,35.14M,-0.19%,,1.72%
11-09-2025,240.37,239.88,242.25,236.25,30.60M,0.50%,,1.90%
12-09-2025,240.8,240.37,242.07,238,26.77M,0.18%,,0.62%
15-09-2025,251.61,244.66,252.41,244.66,58.38M,4.49%,,1.16%
16-09-2025,251.16,252.08,253.04,249.47,34.11M,-0.18%,,0.97%
17-09-2025,249.53,251.22,251.6,246.28,34.11M,-0.65%,,0.93%
18-09-2025,252.03,251.68,253.99,249.8,31.24M,1.00%,,0.74%
19-09-2025,254.72,253.25,256,251.81,55.57M,1.07%,,0.92%
22-09-2025,252.53,254.43,255.78,250.3,32.29M,-0.86%,,0.72%
23-09-2025,251.66,253.04,254.36,250.48,26.63M,-0.34%,,0.65%
24-09-2025,247.14,251.66,252.35,246.44,28.20M,-1.80%,,-0.25%
25-09-2025,245.79,244.4,246.49,240.74,31.02M,-0.55%,,-0.30%
26-09-2025,246.54,247.07,249.42,245.97,18.50M,0.31%,,-0.17%
29-09-2025,244.05,247.85,251.15,242.77,32.51M,-1.01%,,-0.45%
30-09-2025,243.1,242.81,243.29,239.24,34.72M,-0.39%,,-0.66%
01-10-2025,244.9,240.75,246.3,238.61,31.66M,0.74%,,-0.43%
02-10-2025,245.69,245.15,246.81,242.3,25.48M,0.32%,,-0.34%
03-10-2025,245.35,244.49,246.3,241.65,30.25M,-0.14%,,-0.10%
06-10-2025,250.43,244.78,251.32,244.58,28.89M,2.07%,,0.27%
07-10-2025,245.76,248.27,250.44,245.52,23.18M,-1.86%,,-0.04%
08-10-2025,244.62,244.96,246.01,243.82,21.31M,-0.46%,,0.04%
09-10-2025,241.53,244.47,244.76,239.15,27.89M,-1.26%,,-0.08%
10-10-2025,236.57,241.43,244.09,235.84,33.18M,-2.05%,,-0.48%
13-10-2025,244.15,240.21,244.5,239.71,25.00M,3.20%,,-0.07%
14-10-2025,245.45,241.23,247.12,240.51,22.11M,0.53%,,0.02%
15-10-2025,251.03,247.24,252.11,245.99,27.01M,2.27%,,0.05%
16-10-2025,251.46,251.76,256.96,250.1,28.00M,0.17%,,0.34%
17-10-2025,253.3,250.76,254.22,247.81,29.67M,0.73%,,0.51%
20-10-2025,256.55,254.69,257.33,254.23,22.35M,1.28%,,0.88%
21-10-2025,250.46,254.74,254.88,244.15,47.31M,-2.37%,,0.83%
22-10-2025,251.69,254.37,256.36,249.29,35.03M,0.49%,,0.44%
23-10-2025,253.08,252.98,255.04,251.85,19.90M,0.55%,,0.45%
24-10-2025,259.92,256.58,261.68,255.32,28.66M,2.70%,,0.51%
27-10-2025,269.27,264.82,270.14,264.28,35.24M,3.60%,,1.00%
28-10-2025,267.47,269.69,270.73,266.5,29.74M,-0.67%,,0.80%
29-10-2025,274.57,267.75,275.34,267.67,43.58M,2.65%,,0.99%
30-10-2025,281.48,291.59,291.59,280.06,74.88M,2.52%,,1.69%
31-10-2025,281.19,283.21,286,277.03,39.27M,-0.10%,,1.61%
03-11-2025,283.72,282.17,285.53,279.8,29.79M,0.90%,,1.66%
04-11-2025,277.54,276.75,281.27,276.26,30.08M,-2.18%,,0.96%
05-11-2025,284.31,278.87,286.42,277.34,31.01M,2.44%,,0.79%
06-11-2025,284.75,285.33,288.35,281.14,37.17M,0.15%,,0.91%
07-11-2025,278.83,283.2,283.78,275.19,34.48M,-2.08%,,0.24%
10-11-2025,290.1,284.42,290.8,282.86,29.56M,4.04%,,0.45%
11-11-2025,291.31,287.74,291.92,287.32,19.84M,0.42%,,0.53%
12-11-2025,286.71,291.67,292.01,283.69,24.83M,-1.58%,,0.17%
13-11-2025,278.57,282.34,282.84,277.24,29.49M,-2.84%,,0.08%
14-11-2025,276.41,271.4,278.56,270.7,31.65M,-0.78%,,-0.38%
